rid,complete,start_time,end_time,duration,identifier,qpid,qsid,qhid,qkt6,qkt5,qkt1,qkt4,qkt3,qkt2,Qktcomp) Computational Logic
609,COMPLETED,2009-09-03 14:49:30,2009-09-03 14:57:24,474,t0074707,1,1,t0074707,2,,,,,,6
610,COMPLETED,2009-09-03 15:06:36,2009-09-03 15:09:22,166,t0087158,1,1,t0087158,,,,,,2,2
604,COMPLETED,2009-09-03 15:16:56,2009-09-03 15:18:48,112,t0012452,3,PDYNCJXL,t0012452,2,,,,,,6
987,COMPLETED,2009-09-03 15:43:01,2009-09-03 16:30:05,2824,12220690,227,SNDYGAYP,12220690,,,,,2,,3
988,COMPLETED,2009-09-03 15:43:34,2009-09-25 20:51:53,1919299,11830569,187,MEVMJHTH,11830569,,,,,1,,3
989,COMPLETED,2009-09-03 15:46:07,2009-09-03 15:58:34,747,12420753,248,MXBUOLYM,12420753,,,,,2,,3
990,COMPLETED,2009-09-03 15:50:25,2009-09-03 16:05:22,897,14541476,474,JGGTSWKG,14541476,,,1,,,,1
991,COMPLETED,2009-09-03 15:51:19,2009-09-03 16:07:53,994,44350205,736,IMBFXCTS,44350205,1,,,,,,6
992,COMPLETED,2009-09-03 15:53:10,2009-09-03 16:41:11,2881,60930041,838,UJJENWKJ,60930041,,,,,,1,2
993,COMPLETED,2009-09-03 15:54:08,2009-09-03 18:08:10,8042,24850234,613,XABSSDLF,24850234,,,1,,,,1
994,COMPLETED,2009-09-03 15:54:32,2009-09-03 16:22:04,1652,21150056,551,SVSDFMVU,21150056,2,,,,,,6
995,COMPLETED,2009-09-03 15:56:28,2009-09-03 16:22:24,1556,81330061,941,VWEQUFSO,81330061,,,,,,2,2
996,COMPLETED,2009-09-03 16:00:27,2009-09-03 16:19:43,1156,14611496,480,LMXYGUUI,14611496,,,,,,2,2
997,COMPLETED,2009-09-03 16:01:34,2009-09-03 16:20:31,1137,84650231,966,RQNKNCJX,84650231,,,1,,,,1
998,COMPLETED,2009-09-03 16:04:40,2009-09-04 08:19:12,58472,84440217,964,MJVMHSUQ,84440217,,1,,,,,5
999,COMPLETED,2009-09-03 16:05:48,2009-09-03 16:24:18,1110,34440210,681,GYSXPCBY,34440210,,1,,,,,5
1000,COMPLETED,2009-09-03 16:07:30,2009-09-03 16:18:53,683,24050192,593,DPSEUTPI,24050192,,,,2,,,4
1001,COMPLETED,2009-09-03 16:12:28,2009-09-03 17:01:18,2930,12320723,239,YJKRIRNW,12320723,,1,,,,,5
1002,COMPLETED,2009-09-03 16:16:01,2009-09-03 16:45:01,1740,11730536,174,VCREVSGL,11730536,1,,,,,,6
1003,COMPLETED,2009-09-03 16:16:43,2009-09-26 08:52:46,1960563,90520021,971,YXOBBJUT,90520021,,,1,,,,1
1004,COMPLETED,2009-09-03 16:17:50,2009-09-03 16:32:48,898,92430111,978,UPCBKTOI,92430111,2,,,,,,6
1005,COMPLETED,2009-09-03 16:28:13,2009-09-03 16:54:17,1564,10410093,38,TTKOJRXO,10410093,2,,,,,,6
1006,COMPLETED,2009-09-03 16:30:09,2009-09-03 16:59:45,1776,10830250,75,TYIKJWUY,10830250,,,,2,,,4
1007,COMPLETED,2009-09-03 16:32:35,2009-09-03 16:45:35,780,13411079,328,EVIIKNQM,13411079,,,,,,,3
1008,COMPLETED,2009-09-03 16:32:59,2009-09-04 23:52:41,112782,30650030,625,NLLOSDXB,30650030,,,,,,,4
1009,COMPLETED,2009-09-03 16:34:45,2009-09-03 16:50:17,932,42830130,719,EKBEICKN,42830130,,,,,1,,3
1010,COMPLETED,2009-09-03 16:35:38,2009-09-03 17:22:58,2840,20820037,544,SEVZSOQS,20820037,2,,,,,,6
1011,COMPLETED,2009-09-03 16:39:06,2009-09-03 17:02:36,1410,44430209,738,HJSUJYEH,44430209,,,,,,1,2
1012,COMPLETED,2009-09-03 16:44:18,2009-09-03 16:55:45,687,14041681,889,GDJRSFVP,14041681,,,,,,2,2
1013,COMPLETED,2009-09-03 16:59:31,2009-09-03 17:29:47,1816,71710078,915,KHNIESMK,71710078,1,,,,,,6
1014,COMPLETED,2009-09-03 17:04:54,2009-09-03 17:48:11,2597,31910086,644,QIIFROJF,31910086,2,,,,,,6
1015,COMPLETED,2009-09-03 17:06:44,2009-09-03 17:28:13,1289,11810560,184,AYKMOPOI,11810560,,,,,,2,2
1016,COMPLETED,2009-09-03 17:08:19,2009-09-03 17:37:57,1778,13521110,342,PMLAPFLI,13521110,1,,,,,,6
1017,COMPLETED,2009-09-03 17:11:18,2009-09-03 17:48:11,2213,60410014,831,YPMWQEGD,60410014,,,,,1,,3
1018,COMPLETED,2009-09-03 17:12:52,2009-09-08 11:27:03,411251,44140194,733,REBQALOF,44140194,,1,,,,,5
1019,COMPLETED,2009-09-03 17:14:12,2009-09-07 03:00:14,294362,11340422,135,WBUHVHCY,11340422,,,,,,1,2
1020,COMPLETED,2009-09-03 17:14:27,2009-09-03 17:45:04,1837,24830232,612,VBPLQUVC,24830232,,,,2,,,4
1021,COMPLETED,2009-09-03 17:15:09,2009-09-03 19:31:56,8207,41810082,709,OVPXEPRS,41810082,,,1,,,,1
1022,COMPLETED,2009-09-03 17:18:21,2009-09-03 17:36:23,1082,41540070,705,JDIQOTQR,41540070,,1,,,,,5
1023,COMPLETED,2009-09-03 17:18:25,2009-09-03 17:36:48,1103,14141322,429,IJBQDEJC,14141322,,,,,1,,3
1024,COMPLETED,2009-09-03 17:18:57,2009-09-03 17:42:15,1398,54140195,808,DNCVPOUJ,54140195,,,1,,,,1
1025,COMPLETED,2009-09-03 17:26:11,2009-09-03 17:46:11,1200,14251371,446,DRFLEFBH,14251371,,,,,1,,3
1026,COMPLETED,2009-09-03 17:28:11,2009-09-03 17:44:04,953,14721547,502,THGGMWCF,14721547,,,,,,1,2
1027,COMPLETED,2009-09-03 17:31:45,2009-09-03 17:42:19,634,11750549,177,CUMTFZQE,11750549,,,,,,,2
1028,COMPLETED,2009-09-03 17:36:49,2009-09-03 18:48:46,4317,10640195,59,CELOMVOE,10640195,,,1,,,,1
1029,COMPLETED,2009-09-03 17:37:38,2009-09-03 18:07:11,1773,60730031,836,NSDJUXAR,60730031,,2,,,,,5
1030,COMPLETED,2009-09-03 17:42:02,2009-09-03 18:56:33,4471,14211347,438,LTCHDGQH,14211347,2,,,,,,6
1031,COMPLETED,2009-09-03 17:48:51,2009-09-03 18:20:36,1905,14541477,475,DBHTIJVJ,14541477,2,,,,,,6
1032,COMPLETED,2009-09-03 17:49:22,2009-09-03 18:11:21,1319,32130097,647,NMEOKRYC,32130097,,,1,,,,1
1033,COMPLETED,2009-09-03 17:54:36,2009-09-03 18:20:31,1555,40410014,693,MVJLLVOY,40410014,,,1,,,,1
1034,COMPLETED,2009-09-03 17:57:19,2009-09-03 18:18:18,1259,15021635,527,QGZCNRHY,15021635,2,,,,,,6
1035,COMPLETED,2009-09-03 18:01:26,2009-09-03 18:26:22,1496,13721173,372,SONLDTJH,13721173,,,2,,,,1
1036,COMPLETED,2009-09-03 18:04:30,2009-09-03 18:41:31,2221,14941618,525,HYMQLWQR,14941618,,1,,,,,5
1037,COMPLETED,2009-09-03 18:11:58,2009-09-03 18:26:46,888,33240152,659,TQRTGFTD,33240152,,,,,2,,3
1038,COMPLETED,2009-09-03 18:13:08,2009-09-03 18:33:05,1197,11510457,145,KXSMWUUK,11510457,,,,2,,,4
1039,COMPLETED,2009-09-03 18:13:57,2009-09-03 18:47:11,1994,12710844,282,QSKMJDDL,12710844,2,,,,,,6
1040,COMPLETED,2009-09-03 18:27:31,2009-09-03 18:57:48,1817,21550072,559,UYTRTIMG,21550072,,,,,1,,3
1041,COMPLETED,2009-09-03 18:30:57,2009-09-03 20:34:55,7438,54730226,820,MQYSKBRL,54730226,,,1,,,,1
1042,COMPLETED,2009-09-03 18:34:44,2009-09-03 19:07:05,1941,10130014,10,LMSUWJUN,10130014,,2,,,,,5
1043,COMPLETED,2009-09-03 18:38:23,2009-09-03 18:49:46,683,72830132,921,DDHPPVMC,72830132,,,1,,,,1
1044,COMPLETED,2009-09-03 18:39:49,2009-09-08 19:53:16,436407,12630826,278,KMTHSNPI,12630826,,,1,,,,1
1045,COMPLETED,2009-09-03 18:42:46,2009-09-03 18:54:37,711,22020093,563,SBXKJJFF,22020093,,,1,,,,1
1046,COMPLETED,2009-09-03 18:52:22,2009-09-03 19:17:31,1509,54720225,819,ICJPBBLN,54720225,,,,,,2,2
1047,COMPLETED,2009-09-03 19:01:59,2009-09-03 19:36:16,2057,11840575,189,JDNXJQIB,11840575,,,,,,2,2
1048,COMPLETED,2009-09-03 19:03:35,2009-09-03 20:00:16,3401,13321052,319,LEMPTSFJ,13321052,2,,,,,,6
1049,COMPLETED,2009-09-03 19:05:50,2009-09-03 19:18:13,743,20730033,542,ETOBDJOI,20730033,,,,,,2,2
1050,COMPLETED,2009-09-03 19:12:09,2009-09-03 19:27:44,935,14211344,436,XABLQANL,14211344,,,,,,1,2
1051,COMPLETED,2009-09-03 19:12:39,2009-09-05 11:02:24,143385,40730033,699,DVDNKGEF,40730033,,1,,,,,5
1052,COMPLETED,2009-09-03 19:27:46,2009-09-03 19:53:44,1558,13421710,895,UUCDDETL,13421710,,,1,,,,1
1053,COMPLETED,2009-09-03 19:33:17,2009-09-03 20:21:25,2888,54610218,815,DJSZGYYK,54610218,,,,,,1,2
1054,COMPLETED,2009-09-03 19:34:04,2009-09-03 20:21:18,2834,12440773,256,RWQQTTZW,12440773,,,,,,2,2
1055,COMPLETED,2009-09-03 19:42:14,2009-09-03 20:17:45,2131,50140003,759,POJHXFOO,50140003,,,,2,,,4
1056,COMPLETED,2009-09-03 19:44:41,2009-09-03 20:08:15,1414,13941257,408,XLCMDPGI,13941257,,,,2,,,4
1057,COMPLETED,2009-09-03 19:46:08,2009-09-03 20:11:13,1505,13931256,407,VRQGECJK,13931256,2,,,,,,6
1058,COMPLETED,2009-09-03 19:47:50,2009-09-03 20:07:55,1205,13851237,402,CRBRTMFX,13851237,,,,,2,,3
1059,COMPLETED,2009-09-03 19:48:40,2009-09-12 22:37:08,787708,11010305,89,OFGCKNPR,11010305,,,,,2,,3
1060,COMPLETED,2009-09-03 19:50:43,2009-09-03 20:03:12,749,10240045,21,DKFLSNUI,10240045,,,,,,2,2
1061,COMPLETED,2009-09-03 19:52:37,2009-09-03 20:14:47,1330,21520069,557,NBNWICSX,21520069,,2,,,,,5
1062,COMPLETED,2009-09-03 19:52:53,2009-09-03 20:23:38,1845,14411408,449,UKPLRNYU,14411408,,1,,,,,5
1063,COMPLETED,2009-09-03 19:58:47,2009-09-03 20:27:11,1704,14611504,483,ORCGEOHH,14611504,,,,,1,,3
1064,COMPLETED,2009-09-03 20:03:23,2009-09-07 11:42:08,315525,34050190,676,RRABRYWY,34050190,,1,,,,,5
1065,COMPLETED,2009-09-03 20:09:45,2009-09-03 21:14:14,3869,10730222,69,TLIFPMOJ,10730222,1,,,,,,6
1066,COMPLETED,2009-09-03 20:11:47,2009-09-03 20:32:03,1216,10620185,56,WQETOEEL,10620185,,,,2,,,4
1067,COMPLETED,2009-09-03 20:11:55,2009-09-03 20:39:37,1662,54910234,824,ECQJYCMP,54910234,,,,2,,,4
1068,COMPLETED,2009-09-03 20:12:08,2009-09-03 20:48:11,2163,14111305,422,QKBXOFME,14111305,,,1,,,,1
1069,COMPLETED,2009-09-03 20:13:58,2009-09-03 20:23:22,564,14811565,510,UDJYMMLO,14811565,,,,2,,,4
1070,COMPLETED,2009-09-03 20:22:01,2009-09-03 21:32:59,4258,33030142,657,GDKSMMQS,33030142,,,1,,,,1
1071,COMPLETED,2009-09-03 20:26:05,2009-09-03 21:38:54,4369,53430158,795,NXJDDRFP,53430158,,2,,,,,5
1072,COMPLETED,2009-09-03 20:26:32,2009-09-09 10:23:50,482238,51630073,774,IGQRVBVW,51630073,,1,,,,,5
1073,COMPLETED,2009-09-03 20:38:22,2009-09-03 21:03:10,1488,11950606,201,WFGXIZJP,11950606,,,,,,1,2
1074,COMPLETED,2009-09-03 21:03:55,2009-09-03 21:27:06,1391,11750550,178,TSZIFAFA,11750550,,1,,,,,5
1075,COMPLETED,2009-09-03 21:13:13,2009-09-03 21:40:16,1623,22750130,575,CSHJFWWI,22750130,,,1,,,,1
1076,COMPLETED,2009-09-03 21:14:55,2009-09-03 21:34:46,1191,14831574,513,NWDVEBCO,14831574,,,1,,,,1
1077,COMPLETED,2009-09-03 21:16:05,2009-09-03 22:08:05,3120,54640222,817,MPPDZXUW,54640222,,1,,,,,5
1078,COMPLETED,2009-09-03 21:16:19,2009-09-03 21:47:49,1890,54850232,823,HCRYLYTK,54850232,,,,,2,,3
1079,COMPLETED,2009-09-03 21:17:12,2009-09-03 21:55:07,2275,12020623,206,KJOTINSU,12020623,,,,,2,,3
1080,COMPLETED,2009-09-03 21:22:35,2009-09-03 21:50:44,1689,10920282,81,PYEDNLWO,10920282,1,,,,,,6
1081,COMPLETED,2009-09-03 21:25:19,2009-09-03 21:44:26,1147,53620166,799,VDNXMPXF,53620166,1,,,,,,6
1082,COMPLETED,2009-09-03 21:26:19,2009-09-03 22:00:21,2042,11020314,92,SRWYJWZD,11020314,,,,,2,,3
1083,COMPLETED,2009-09-03 21:40:49,2009-09-04 16:55:47,69298,11120359,109,KXHKJIVW,11120359,,,,2,,,4
1084,COMPLETED,2009-09-03 21:51:50,2009-09-10 23:22:49,610259,12210683,221,ISNDJCSO,12210683,,,1,,,,1
1085,COMPLETED,2009-09-03 21:59:45,2009-09-03 22:14:44,899,14721545,501,TYECYAQX,14721545,,2,,,,,5
1086,COMPLETED,2009-09-03 22:04:18,2009-09-03 22:29:43,1525,12350743,243,OJSXCMQZ,12350743,,,1,,,,1
1087,COMPLETED,2009-09-03 22:08:35,2009-09-03 23:39:41,5466,14631518,489,ESNKFVGD,14631518,,,,,2,,3
1088,COMPLETED,2009-09-03 22:09:38,2009-09-03 22:19:06,568,13831216,392,TEYXAZFK,13831216,,2,,,,,5
1089,COMPLETED,2009-09-03 22:13:07,2009-09-03 22:33:24,1217,13341069,324,JKYHSXWQ,13341069,,,,2,,,4
1090,COMPLETED,2009-09-03 22:15:21,2009-09-03 23:12:40,3439,31850085,643,YTGOOZCG,31850085,,,,,1,,3
1091,COMPLETED,2009-09-03 22:18:15,2009-09-03 22:36:15,1080,14231355,443,JTYINEBG,14231355,,,,,2,,3
1092,COMPLETED,2009-09-03 22:24:20,2009-09-03 22:45:16,1256,32530117,654,VCPVKOPQ,32530117,,,,2,,,4
1093,COMPLETED,2009-09-03 22:34:22,2009-09-08 23:21:45,434843,60630027,834,NMQKTTLJ,60630027,,,,,,2,2
1094,COMPLETED,2009-09-03 22:40:52,2009-09-03 22:50:54,602,13451100,338,GFSRPTCL,13451100,,,,,2,,3
1095,COMPLETED,2009-09-03 22:41:45,2009-09-03 23:49:00,4035,14821567,511,HJWRVOPI,14821567,,,2,,,,1
1096,COMPLETED,2009-09-03 22:43:39,2009-09-03 23:07:01,1402,14141326,432,PRMIODHG,14141326,,,,,,1,2
1097,COMPLETED,2009-09-03 22:44:35,2009-09-03 23:03:33,1138,61720077,852,OHQNEBKK,61720077,,1,,,,,5
1098,COMPLETED,2009-09-03 22:52:00,2009-09-03 23:29:01,2221,22030094,564,OGFEWMVZ,22030094,,,,2,,,4
1099,COMPLETED,2009-09-03 23:07:01,2009-09-03 23:29:46,1365,34620223,687,MWDQCLRV,34620223,,,1,,,,1
1100,COMPLETED,2009-09-03 23:42:22,2009-09-04 00:13:04,1842,11030328,94,WOOSFRCC,11030328,2,,,,,,6
1101,COMPLETED,2009-09-03 23:46:39,2009-09-04 00:42:17,3338,14041294,416,EINMJGJE,14041294,2,,,,,,6
1102,COMPLETED,2009-09-04 00:08:35,2009-09-10 23:32:52,602657,14621516,488,RLVLYUSM,14621516,,,,,,2,2
1103,COMPLETED,2009-09-04 00:18:37,2009-09-04 00:31:43,786,73830180,925,JZUFKBRQ,73830180,,,2,,,,1
1104,COMPLETED,2009-09-04 00:48:19,2009-09-04 01:16:24,1685,64020186,874,XJRMRAOD,64020186,,,,,,,6
1105,COMPLETED,2009-09-04 01:13:21,2009-09-04 01:29:35,974,15021636,528,OBMLWGEJ,15021636,,,,,2,,3
1106,COMPLETED,2009-09-04 01:16:05,2009-09-04 01:25:01,536,33320155,660,JLVPMNMO,33320155,,,,1,,,4
1107,COMPLETED,2009-09-04 02:05:25,2009-09-04 02:19:06,821,11640506,165,GJNGMHUC,11640506,,,,2,,,4
1108,COMPLETED,2009-09-04 03:26:15,2009-09-04 03:36:30,615,44640223,749,GAPELJYX,44640223,,,,,,2,2
1109,COMPLETED,2009-09-04 05:43:11,2009-09-04 05:59:55,1004,24540219,604,QIHULGUR,24540219,,,1,,,,1
1110,COMPLETED,2009-09-04 05:44:04,2009-09-04 07:22:35,5911,14531461,467,SLGVJXNR,14531461,,2,,,,,5
1111,COMPLETED,2009-09-04 05:59:52,2009-09-04 06:16:40,1008,53230149,790,XBWCHATK,53230149,,,2,,,,1
1112,COMPLETED,2009-09-04 06:21:20,2009-09-12 09:32:12,702652,10650201,60,FUUJHKBY,10650201,,,,,2,,3
1113,COMPLETED,2009-09-04 06:27:23,2009-09-04 15:32:46,32723,40450019,695,PFIQVHFY,40450019,,,,2,,,4
1114,COMPLETED,2009-09-04 06:30:53,2009-09-04 06:57:08,1575,11050340,99,PUTXADOF,11050340,,,,2,,,4
1115,COMPLETED,2009-09-04 06:41:53,2009-09-04 06:52:43,650,10210030,17,CRVUJDBZ,10210030,,2,,,,,5
1116,COMPLETED,2009-09-04 06:45:49,2009-09-04 07:00:27,878,10140021,14,HYHGDOIE,10140021,,,,,,1,2
1117,COMPLETED,2009-09-04 07:10:27,2009-09-04 07:43:50,2003,11150373,119,UPKVHRNR,11150373,,,,,2,,3
1118,COMPLETED,2009-09-04 07:11:14,2009-09-04 07:25:56,882,50420015,763,KIKHREHB,50420015,,1,,,,,5
1119,COMPLETED,2009-09-04 07:20:20,2009-09-04 08:06:12,2752,61640073,850,VRGENRFS,61640073,,,,,2,,3
1120,COMPLETED,2009-09-04 07:26:37,2009-09-04 08:05:03,2306,32710124,655,RZWDLXKQ,32710124,,,,,,1,2
1121,COMPLETED,2009-09-04 07:29:02,2009-09-04 07:51:36,1354,10720215,65,CHTZVWQJ,10720215,,,,,,2,2
1122,COMPLETED,2009-09-04 07:29:06,2009-09-04 07:58:13,1747,14021279,411,NQPGEOWE,14021279,,,,,,2,2
1123,COMPLETED,2009-09-04 07:38:35,2009-09-04 08:29:28,3053,61050049,839,LPNYQIYQ,61050049,1,,,,,,6
1124,COMPLETED,2009-09-04 07:45:31,2009-09-04 07:56:16,645,32420111,651,UFRFKUUG,32420111,,1,,,,,5
1125,COMPLETED,2009-09-04 07:55:36,2009-09-04 08:34:34,2338,10830252,76,FVDKFREQ,10830252,,,,,1,,3
1126,COMPLETED,2009-09-04 07:56:20,2009-09-04 08:19:42,1402,31240058,631,QDNHLJIO,31240058,,,1,,,,1
1127,COMPLETED,2009-09-04 07:58:28,2009-09-04 08:17:47,1159,11530470,151,FYEMPQJU,11530470,,1,,,,,5
1128,COMPLETED,2009-09-04 08:00:55,2009-09-10 09:49:19,524904,10560168,52,DOYQEKOC,10560168,,,,,1,,3
1129,COMPLETED,2009-09-04 08:23:51,2009-09-04 08:43:52,1201,92630120,980,RMXUGMML,92630120,2,,,,,,6
1130,COMPLETED,2009-09-04 08:27:38,2009-09-04 08:49:40,1322,24240200,597,SEQSFCQB,24240200,,,,,,2,2
1131,COMPLETED,2009-09-04 08:49:13,2009-09-04 09:09:55,1242,21440067,556,AXTSJECY,21440067,2,,,,,,6
1132,COMPLETED,2009-09-04 08:50:33,2009-09-04 09:11:43,1270,84410213,962,EXVJDQKF,84410213,,1,,,,,5
1133,COMPLETED,2009-09-04 09:08:17,2009-09-08 15:56:56,370119,62650121,864,YNXXPDVG,62650121,,,,,,,4
1134,COMPLETED,2009-09-04 09:15:16,2009-09-04 09:40:01,1485,54120191,806,GHUPIFUY,54120191,,1,,,,,5
1135,COMPLETED,2009-09-04 09:38:50,2009-09-04 10:10:49,1919,13551132,347,YMSEDPLG,13551132,,,1,,,,1
1136,COMPLETED,2009-09-04 09:58:49,2009-09-04 10:52:00,3191,11210375,120,TJMVQSEX,11210375,,,,,1,,3
1137,COMPLETED,2009-09-04 10:07:16,2009-09-04 10:48:39,2483,11620491,160,KDDPJLQM,11620491,,,,,,2,2
1138,COMPLETED,2009-09-04 10:09:51,2009-09-04 13:23:54,11643,61340060,846,YHOISBQG,61340060,,,,2,,,4
1139,COMPLETED,2009-09-04 10:10:42,2009-09-04 10:29:43,1141,11220385,127,YVDFDCUD,11220385,,,,,,1,2
1140,COMPLETED,2009-09-04 10:14:32,2009-09-04 15:00:39,17167,64650223,883,VKKKLRBG,64650223,,,,2,,,4
1141,COMPLETED,2009-09-04 10:17:02,2009-09-04 10:39:03,1321,13721165,368,QWPDVPDQ,13721165,2,,,,,,6
1142,COMPLETED,2009-09-04 10:24:42,2009-09-25 19:01:28,1845406,53510160,796,PQNYPXHD,53510160,2,,,,,,6
1143,COMPLETED,2009-09-04 10:26:35,2009-09-04 10:54:47,1692,13221023,311,NXNNMXJE,13221023,,,,,,1,2
1144,COMPLETED,2009-09-04 10:33:59,2009-09-04 11:42:41,4122,14151338,435,VFRUKIQZ,14151338,,,,,1,,3
1145,COMPLETED,2009-09-04 10:36:13,2009-09-04 12:18:20,6127,22920137,578,YRNOTPAP,22920137,,,,,,2,2
1146,COMPLETED,2009-09-04 10:49:09,2009-09-04 11:11:05,1316,11150371,118,DLIYOGPO,11150371,,2,,,,,5
1147,COMPLETED,2009-09-04 11:12:36,2009-09-04 11:29:47,1031,12320725,240,RJJMWSFX,12320725,,,,2,,,4
1148,COMPLETED,2009-09-04 11:18:21,2009-09-04 11:28:34,613,50930042,764,LKSPBEBN,50930042,,,,,2,,3
1149,COMPLETED,2009-09-04 11:22:41,2009-09-04 12:02:15,2374,14621513,486,YYXWXPZE,14621513,1,,,,,,6
1150,COMPLETED,2009-09-04 11:24:47,2009-09-04 17:07:03,20536,14911598,516,GFLDOGME,14911598,,,2,,,,1
1151,COMPLETED,2009-09-04 11:26:05,2009-09-29 09:30:13,2153048,40580026,696,ZJNZKNMX,40580026,,,,,1,,3
1152,COMPLETED,2009-09-04 11:27:52,2009-09-04 11:39:08,676,41550071,706,AEFQTGEE,41550071,,1,,,,,5
1153,COMPLETED,2009-09-04 11:29:29,2009-09-04 14:24:04,10475,14931616,524,XVEZXMQI,14931616,,,,,,2,2
1154,COMPLETED,2009-09-04 11:32:37,2009-09-04 12:03:28,1851,71050050,908,JYORABEE,71050050,,1,,,,,5
1155,COMPLETED,2009-09-04 11:59:13,2009-09-04 12:12:15,782,41050050,702,IUMXBMGF,41050050,,,,,1,,3
1156,COMPLETED,2009-09-04 12:20:55,2009-09-04 12:45:07,1452,13421084,331,OSHIPFZL,13421084,,,2,,,,1
1157,COMPLETED,2009-09-04 12:26:51,2009-09-04 12:49:38,1367,53210147,789,LMOVVLYD,53210147,,,,1,,,4
1158,COMPLETED,2009-09-04 12:28:13,2009-09-04 12:45:59,1066,23940186,589,KILQSMGQ,23940186,,,,2,,,4
1159,COMPLETED,2009-09-04 12:40:44,2009-09-04 13:11:03,1819,10570171,54,DJCCWPMV,10570171,2,,,,,,6
1160,COMPLETED,2009-09-04 12:58:22,2009-09-04 13:09:57,695,12230693,230,WRPHEOOY,12230693,2,,,,,,6
1161,COMPLETED,2009-09-04 13:13:58,2009-09-04 13:56:09,2531,53520161,797,JVEVWHTM,53520161,,,,,,2,2
1162,COMPLETED,2009-09-04 13:15:33,2009-09-04 13:33:01,1048,74750236,933,JIKOSCTY,74750236,,,,,2,,3
1163,COMPLETED,2009-09-04 13:20:05,2009-09-04 13:34:55,890,64050189,876,PTFMFKFK,64050189,,1,,,,,5
1164,COMPLETED,2009-09-04 13:23:31,2009-09-04 14:03:32,2401,34040188,674,YCXTKVBO,34040188,,,,,,2,2
